lng,lat
-65.9,18.07
-66.86,18.08
35.2,31.92
-8.52,39.6
-58.39,-23.23
51.19,25.29
55.53,-21.13
24.98,45.84
20.79,44.23
96.67,61.99
39.99,44.6
87.02,50.74
82.61,52.61
127.73,53.41
48.34,67.8
47.31,47.02
56.53,54.27
37.49,50.67
33.42,52.91
109.51,53.56
45.73,43.3
60.4,54.45
113.45,66.51
34.35,45.32
47.09,55.49
46.87,43.02
44.87,43.18
106.36,57.1
41.56,56.99
163.03,58.93
43.41,43.49
41.75,43.77
39.46,45.26
87.21,54.78
21.45,54.71
64.81,55.45
137.32,54.83
70.29,61.86
49.83,58.68
89.89,53.39
45.24,46.47
35.45,54.37
54.79,64.13
43.79,58.46
33.13,63.55
36.1,51.68
95.99,67.48
31.71,60.02
39.15,52.64
154,62.7
47.94,56.58
44.46,54.36
37.66,55.67
37.36,55.56
34.58,67.81
54.95,67.88
32.49,58.31
44.61,56.31
79.77,55.28
73.34,56.1
55.63,51.99
36.48,52.78
56.23,59.12
44.63,53.18
134.76,45.18
29.23,57.24
41.31,47.74
40.63,54.33
130.14,66.18
143.62,49.93
50.46,53.28
46.8,51.58
44.26,43.09
33.66,44.57
33,54.96
30.21,59.92
43.34,44.95
61.53,58.59
50.92,55.35
41.59,52.68
82.14,58.49
37.58,53.89
34.7,57.09
94.79,51.58
69.14,57.68
52.8,57.17
47.95,53.89
44.15,49.62
40.68,56.01
40.5,59.97
40.23,50.97
74.53,67.13
39.14,57.86
132.26,48.52
116.2,52.85
29.96,-2
44.55,24.12
45.57,23.06
41.21,21.63
39.49,24.92
50.13,22.94
43.29,26.13
41.4,27.35
37.32,27.92
42.07,30.02
42.61,17.36
45.83,18.28
41.41,20.11
39.58,29.99
42.99,19.27
159.56,-8.88
51.8,-6.73
29.95,15.99
16.76,62.78
18.16,59.47
17.83,64.87
20.09,66.95
17.59,60.06
16.69,59.08
15.67,58.36
14.41,57.53
14.57,56.79
16.13,57.2
18.54,57.51
15.2,56.28
13.6,55.95
12.84,56.96
12.83,58.31
13.15,59.77
14.97,59.36
16.16,59.75
14.35,60.96
16.29,61.45
17.26,63.1
14.31,63.26
103.82,1.35
14.82,46.12
13.91,45.9
16.23,46.61
14.08,46.35
13.92,46.29
14.38,45.91
13.62,46.36
13.55,46.01
14.42,45.95
15.62,45.93
16.08,46.66
15.27,46.25
14.5,46.25
14.38,45.8
13.97,46.12
16.3,46.56
14.83,46.46
15.2,45.52
15.88,46.48
14.03,45.69
14.74,45.82
14.31,46.06
14.67,46.09
14.63,46.15
15.99,46.45
15.03,46.6
15.77,46.51
14.14,46.11
16.01,46.41
